model,accuracy,precision,recall,f1_score,roc_auc
Gradient Boosting,0.9261930336044192,0.9459715639810427,0.7018284106891702,0.8058134840532902,0.9263731713477679
Random Forest,0.9129967776584318,0.8379446640316206,0.7454289732770746,0.7889839970227019,0.925801473825722
Logistic Regression,0.8135645235537824,0.5514669318746892,0.779887482419128,0.6460821438974658,0.8711793780339513
