risk_level,total_applicants,total_default,avg_loan_amount,avg_income,default_rate
Low Risk,17190,2088,6630.762070971495,78438.77731239093,0.12146596858638743
Medium Risk,11557,2324,11934.197888725448,55797.36384874967,0.20109024833434283
High Risk,3834,2696,15786.378455920709,41620.219613980174,0.7031820552947313
