Metric,Value
Total Applicants,32581.0
Total Default,7108.0
Default Rate,0.21816396059052823
Average Income,66074.84846996715
Average Loan Amount,9589.371105859243
Average Interest Rate,11.009620023940332
Average Loan Percent Income,0.1702034928332464
